Fwd-Ref (max=52),Rev-Ref (max=52),Fwd-Rev (max=98),Core-Ref (max=30),reads
52,40,86,28,6
52,24,40,12,5
52,32,76,20,1
22,8,8,8,23
22,18,18,6,37
52,44,86,28,4
52,38,84,26,1
52,50,96,30,26
52,48,94,30,30
52,28,54,16,29
52,26,52,14,3
22,20,44,12,13
52,30,58,18,1
22,18,42,12,8
22,14,14,6,7
52,52,98,30,12639
52,42,88,28,14
52,46,92,30,2
52,34,76,24,1
52,46,88,30,1
22,6,6,6,1
52,34,80,22,1
48,30,62,18,1
22,22,46,12,9710
44,44,92,22,13
48,52,94,28,45
46,46,96,24,132
48,52,86,30,6
18,24,18,6,4
52,50,92,30,2
52,52,94,30,353
52,52,86,30,19
48,52,86,28,12
20,42,12,8,1
48,48,94,30,8
52,48,90,28,27
45,45,94,23,20
14,14,18,8,4
22,36,26,12,1
22,18,42,10,19
22,18,38,10,4
52,44,82,26,2
22,10,10,6,10
22,10,12,6,3
52,44,82,28,3
43,43,90,22,3
39,39,86,22,1
22,22,42,10,6
24,24,40,12,47
10,10,2,2,6
18,22,18,6,43
52,48,86,28,4
52,10,10,8,2
42,46,96,22,1
52,44,90,28,7
52,40,78,24,2
20,22,36,10,2
18,18,18,6,18
22,22,42,12,119
10,12,4,4,2
25,21,78,11,34
48,48,98,28,6
38,38,92,16,4
48,52,90,28,17
20,20,6,4,20
48,52,94,30,58
52,46,76,28,1
52,48,66,28,4
22,20,20,10,57
22,24,46,12,14
48,50,92,28,2
22,10,6,4,3
50,52,92,30,3
52,28,34,20,1
52,48,94,28,58
48,52,82,30,5
22,10,8,6,1
22,22,42,14,2
22,16,20,6,2
52,52,82,30,14
22,12,12,6,9
18,22,14,6,9
25,22,32,12,7
48,52,90,30,13
48,48,90,26,2
52,52,90,30,92
26,26,96,12,1
48,48,98,26,52
23,22,32,12,27
44,44,96,30,14
46,46,100,24,76
52,36,74,24,1
50,52,84,30,2
26,22,34,14,2
52,46,88,28,1
52,34,72,22,5
44,44,96,26,1
22,22,32,12,83
34,34,88,14,3
41,41,90,19,7
22,12,10,10,1
45,45,90,23,1
52,44,90,26,4
52,44,90,30,2
20,20,44,12,1
16,22,36,12,1
48,48,98,30,29
22,10,10,4,4
50,50,96,30,6
21,28,28,6,1
20,22,16,6,2
50,52,96,30,13
20,22,44,12,7
24,24,36,10,1
27,27,72,14,1
42,42,92,20,9
27,27,70,16,1
44,52,90,28,13
52,48,86,30,4
22,14,6,6,1
37,37,90,15,1
41,41,90,20,3
40,40,58,20,1
22,24,42,12,4
44,52,86,26,3
48,48,90,28,6
46,46,92,24,2
52,12,12,8,2
26,22,16,6,1
52,32,54,20,1
52,34,74,22,3
52,48,78,28,2
12,12,6,6,1
44,44,96,22,11
14,16,6,6,1
44,52,86,28,2
52,48,74,28,2
48,48,86,26,3
18,18,6,4,1
26,26,52,14,7
12,10,6,4,2
20,20,20,10,2
43,43,90,21,11
29,29,74,14,1
22,10,10,8,2
52,42,76,26,1
10,10,4,4,11
46,46,84,24,1
48,50,88,28,1
22,20,24,8,1
22,22,38,12,13
42,42,88,20,3
10,12,10,4,1
43,43,94,21,13
22,18,12,6,1
27,43,54,21,1
42,42,100,24,1
10,13,6,4,1
44,52,82,28,4
52,52,74,30,2
26,22,32,12,1
25,23,78,13,1
45,43,100,23,7
41,39,100,19,4
16,10,10,4,1
39,35,78,15,1
26,24,48,14,1
52,52,66,30,1
22,20,36,10,2
18,22,18,8,2
52,28,42,22,2
40,50,64,24,1
52,16,14,10,1
20,22,18,6,1
48,42,72,24,1
