fwd-ref,rev-ref,fwd-rev,core-ref,reads
22,18,42,12,22
52,24,40,12,19
52,42,88,28,10
22,18,18,6,56
52,48,94,30,64
48,28,54,16,1
22,8,8,8,30
52,32,68,20,3
52,26,52,14,4
52,34,80,22,6
52,44,90,30,5
12,8,6,4,1
52,30,66,18,1
20,8,8,8,1
52,28,54,16,10
12,8,6,6,1
52,36,82,24,6
52,46,92,30,2
52,26,48,14,3
52,26,50,14,2
22,12,12,4,4
52,44,90,28,6
45,22,38,10,1
52,30,60,18,2
52,30,64,18,2
52,36,78,24,1
52,32,60,20,1
52,32,66,20,1
41,20,20,8,1
48,22,44,14,1
50,22,38,12,1
52,10,10,4,4
52,28,54,14,10
52,52,98,30,13133
52,30,58,16,5
22,22,46,12,8112
22,10,10,4,6
52,42,88,24,10
48,48,90,28,18
44,44,96,22,36
46,46,96,24,184
39,39,86,22,1
50,52,96,30,12
45,45,94,23,36
20,20,6,4,41
12,10,4,2,217
22,22,32,12,104
52,48,94,28,129
26,22,32,12,6
52,52,94,30,357
22,12,8,4,5
12,10,6,4,20
22,18,42,10,35
20,22,20,10,60
46,46,100,24,112
22,20,44,12,5
48,52,94,28,77
22,16,16,10,4
23,22,32,12,53
22,18,38,12,2
48,48,86,30,1
22,20,20,10,62
12,10,8,4,9
22,22,42,12,97
48,52,82,30,4
52,50,96,30,12
26,26,52,14,3
20,16,6,4,3
21,17,74,8,1
44,48,90,26,2
52,52,82,30,7
10,14,10,4,1
52,44,90,26,10
52,44,82,28,6
22,14,14,4,1
52,48,82,28,6
52,48,86,28,8
22,24,34,14,1
42,42,84,24,1
44,48,86,26,4
48,48,98,26,58
52,30,64,16,6
25,8,8,4,1
40,40,92,18,4
48,48,86,26,3
52,10,12,6,1
22,12,4,4,1
43,43,90,22,1
52,52,90,30,62
27,27,70,16,2
44,44,92,22,15
18,18,18,6,10
44,44,96,30,25
18,14,48,14,2
26,24,30,14,1
48,52,90,30,35
22,24,46,12,11
32,32,76,16,13
12,12,36,12,1
52,48,90,28,29
18,22,12,4,2
22,14,8,6,2
50,48,88,28,1
48,44,78,24,1
44,52,90,28,11
48,44,23,28,1
33,33,92,12,4
22,24,38,12,1
46,46,88,24,1
48,52,94,30,142
48,40,78,26,1
38,42,84,20,1
52,36,80,20,1
22,18,8,4,2
12,10,4,4,9
22,22,38,12,9
14,12,6,4,3
52,10,8,4,2
24,24,40,12,26
20,20,44,12,3
36,36,80,22,1
48,48,98,30,42
52,16,22,10,1
14,12,26,10,4
19,22,30,8,1
43,43,94,21,18
26,20,20,10,4
12,12,6,4,12
25,21,78,11,39
10,28,11,8,1
48,48,90,26,3
22,22,42,10,5
35,35,90,21,1
46,42,92,22,7
52,48,78,28,2
25,22,32,12,10
52,48,82,30,3
52,52,70,30,2
52,44,86,26,3
52,52,62,30,1
22,8,8,4,6
52,32,70,18,5
52,30,56,16,3
14,10,10,4,14
39,39,92,17,1
40,40,92,20,2
36,36,84,14,2
52,8,8,8,2
22,16,12,6,1
