type,outcome,reads
alignment scores,0,0
alignment scores,1,0
alignment scores,2,0
alignment scores,3,0
alignment scores,4,0
alignment scores,5,0
alignment scores,6,0
alignment scores,7,0
alignment scores,8,0
alignment scores,9,0
alignment scores,10,0
alignment scores,11,0
alignment scores,12,0
alignment scores,13,0
alignment scores,14,0
alignment scores,15,0
alignment scores,16,0
alignment scores,17,0
alignment scores,18,0
alignment scores,19,0
alignment scores,20,0
alignment scores,21,0
alignment scores,22,0
alignment scores,23,0
alignment scores,24,0
alignment scores,25,0
alignment scores,26,0
alignment scores,27,0
alignment scores,28,0
alignment scores,29,0
alignment scores,30,0
alignment scores,31,0
alignment scores,32,0
alignment scores,33,0
alignment scores,34,0
alignment scores,35,0
alignment scores,36,0
alignment scores,37,1
alignment scores,38,1
alignment scores,39,0
alignment scores,40,0
alignment scores,41,0
alignment scores,42,0
alignment scores,43,2
alignment scores,44,32
alignment scores,45,7
alignment scores,46,76
alignment scores,47,39
alignment scores,48,79
alignment scores,49,52
alignment scores,50,47
alignment scores,51,30
alignment scores,52,28
alignment scores,53,41
alignment scores,54,17
alignment scores,55,23
alignment scores,56,19
alignment scores,57,14
alignment scores,58,30
alignment scores,59,25
alignment scores,60,28
alignment scores,61,197
alignment scores,62,37
alignment scores,63,30
alignment scores,64,8177
alignment scores,65,87
alignment scores,66,22
alignment scores,67,103
alignment scores,68,127
alignment scores,69,16
alignment scores,70,23
alignment scores,71,6
alignment scores,72,15
alignment scores,73,43
alignment scores,74,17
alignment scores,75,4
alignment scores,76,6
alignment scores,77,3
alignment scores,78,13
alignment scores,79,0
alignment scores,80,29
alignment scores,81,2
alignment scores,82,14
alignment scores,83,0
alignment scores,84,13
alignment scores,85,2
alignment scores,86,11
alignment scores,87,6
alignment scores,88,24
alignment scores,89,2
alignment scores,90,15
alignment scores,91,2
alignment scores,92,16
alignment scores,93,6
alignment scores,94,9
alignment scores,95,5
alignment scores,96,41
alignment scores,97,5
alignment scores,98,4
alignment scores,99,23
alignment scores,100,9
alignment scores,101,4
alignment scores,102,41
alignment scores,103,0
alignment scores,104,17
alignment scores,105,13
alignment scores,106,15
alignment scores,107,0
alignment scores,108,54
alignment scores,109,1
alignment scores,110,11
alignment scores,111,10
alignment scores,112,37
alignment scores,113,2
alignment scores,114,58
alignment scores,115,5
alignment scores,116,73
alignment scores,117,18
alignment scores,118,54
alignment scores,119,1
alignment scores,120,353
alignment scores,121,5
alignment scores,122,0
alignment scores,123,13
alignment scores,124,219
alignment scores,125,16
alignment scores,126,21
alignment scores,127,0
alignment scores,128,507
alignment scores,129,50
alignment scores,130,0
alignment scores,131,0
alignment scores,132,13647
lost reads,Poor Alignment,9723
lost reads,Length Mismatch,5531
lost reads,Index Mismatches,0
