fwd-ref,rev-ref,fwd-rev,core-ref,reads
52,28,54,14,9
52,24,40,10,10
12,8,6,4,1
22,8,8,4,29
52,46,92,24,4
52,44,90,24,12
22,18,42,8,48
52,30,58,16,1
52,32,68,18,4
52,30,66,16,1
52,38,84,22,2
52,26,50,12,1
22,18,18,6,32
52,50,96,24,22
22,20,44,8,10
52,36,82,22,3
40,38,80,24,1
52,48,94,24,68
46,24,40,10,3
22,10,10,2,1
52,26,52,12,1
22,12,13,6,1
10,10,4,4,13
22,22,32,8,65
22,22,46,8,8914
52,52,98,24,13069
52,44,90,20,4
45,45,94,18,18
46,46,96,18,210
23,22,32,8,43
46,44,98,20,1
46,46,100,18,76
44,44,96,16,22
52,32,50,16,1
48,48,98,24,62
22,22,42,8,118
52,44,86,24,6
52,50,92,24,2
25,23,74,10,1
46,52,92,24,3
52,52,94,24,322
52,16,22,10,1
18,20,6,0,2
34,34,80,20,5
52,48,82,22,2
52,48,90,22,22
48,48,94,22,1
48,28,72,12,1
43,43,94,16,9
46,46,100,20,24
25,21,78,8,27
50,52,96,24,8
48,48,94,24,6
22,24,46,8,30
48,48,78,20,2
29,29,78,12,17
48,48,86,22,4
52,52,86,24,17
52,12,14,12,1
31,31,74,14,12
14,10,6,4,2
35,35,82,10,5
42,42,96,14,2
48,52,94,24,78
39,39,86,20,5
45,45,94,17,22
12,10,10,4,8
24,24,40,10,4
48,48,98,22,4
52,52,90,24,79
18,22,18,6,30
12,10,6,4,13
22,14,8,4,2
35,35,86,12,3
52,44,90,22,9
48,32,54,20,1
36,36,80,18,2
10,12,6,4,4
52,48,94,22,82
20,20,40,8,1
26,20,20,6,3
39,39,90,14,5
52,40,86,22,4
50,50,96,24,9
22,12,12,6,1
12,14,10,4,1
22,14,14,4,2
52,48,90,24,29
52,52,74,24,2
14,22,10,4,1
38,38,92,22,1
30,26,76,16,2
14,10,4,4,5
46,52,88,24,1
52,48,86,22,7
14,14,10,6,1
18,20,18,6,2
52,28,64,14,1
22,22,38,8,12
52,10,10,8,1
22,10,10,4,4
10,10,8,4,5
24,24,82,6,1
15,15,92,10,1
39,39,86,12,5
22,20,20,6,45
22,20,36,6,3
14,8,4,0,1
42,42,100,14,1
48,48,90,22,10
24,22,32,6,2
44,44,92,18,11
22,14,12,6,1
12,12,28,10,1
14,10,10,6,1
18,18,18,6,15
48,52,90,24,31
52,30,56,14,5
52,30,58,14,2
38,38,94,18,10
40,40,92,14,3
20,20,6,0,27
52,16,17,14,1
45,45,102,18,1
52,44,86,22,6
30,30,66,16,2
46,46,92,18,5
22,12,6,4,2
41,41,90,16,2
32,32,76,14,4
36,36,88,14,2
52,36,82,20,9
36,36,88,12,1
41,41,94,20,1
10,12,4,4,2
52,36,58,20,2
41,41,102,14,1
30,30,76,16,2
20,20,20,6,7
22,20,36,8,1
24,22,28,6,1
25,18,48,8,1
44,44,96,20,3
22,22,38,6,1
22,6,6,4,1
52,34,80,18,5
11,12,10,4,1
32,32,76,10,3
44,48,82,22,1
36,36,98,20,2
52,30,64,14,5
22,26,46,8,1
22,10,8,6,3
20,20,44,8,1
26,26,66,12,5
20,22,28,6,1
12,14,8,4,2
24,24,94,10,6
32,32,84,12,2
48,48,98,20,31
26,22,42,10,10
46,46,88,18,3
52,30,66,14,8
52,30,60,14,5
44,52,82,24,2
20,20,36,8,1
48,52,94,22,20
44,44,96,24,21
52,34,74,18,1
35,35,86,13,1
34,34,88,10,3
10,10,4,2,4
48,52,78,24,3
29,26,60,12,2
10,10,2,0,9
40,40,102,14,2
44,48,78,22,1
52,44,86,20,6
22,18,38,8,4
24,28,32,6,1
20,22,20,6,14
26,26,80,12,4
52,12,12,6,1
12,10,4,2,1
41,41,90,17,1
18,22,38,8,1
52,52,82,24,8
52,40,78,20,2
52,30,60,20,1
27,27,74,10,3
33,33,78,12,1
22,14,10,6,1
52,48,86,24,7
38,38,92,12,2
48,52,86,22,3
25,20,20,6,2
48,44,90,22,1
12,16,62,12,1
20,22,44,8,4
48,52,90,22,7
38,38,90,18,2
22,14,16,6,1
26,22,32,8,4
48,48,62,20,1
48,48,90,24,6
14,14,8,4,1
48,36,62,18,1
48,48,90,20,1
31,31,82,10,1
21,14,28,8,1
41,41,90,14,3
12,12,6,4,2
33,33,82,12,4
44,44,88,18,1
12,12,10,4,2
43,43,90,15,1
12,10,8,4,5
52,34,74,20,1
48,52,82,24,2
30,30,80,16,12
14,12,6,6,1
18,22,14,4,1
45,41,74,18,1
29,29,82,10,2
18,24,18,6,4
45,33,74,15,1
52,10,10,6,1
22,18,30,6,1
44,52,86,24,3
20,22,6,0,1
48,12,20,8,1
14,14,18,6,5
12,12,6,2,1
40,44,88,18,1
14,28,12,4,1
48,52,86,24,10
40,46,48,18,1
44,52,90,24,6
40,52,86,22,1
52,42,88,24,16
52,10,10,4,2
44,36,70,20,1
18,20,18,4,1
14,10,6,2,1
24,24,34,10,8
42,42,88,14,2
35,35,88,12,1
38,32,44,12,1
10,12,6,6,1
52,30,60,18,1
50,52,92,24,1
48,52,82,22,1
10,10,10,4,5
22,20,40,6,1
52,40,40,14,1
43,43,90,17,1
52,44,74,22,2
36,36,84,14,1
52,14,12,6,3
41,41,90,18,1
44,44,98,16,4
48,28,50,20,1
22,22,42,10,3
18,18,34,8,1
22,22,34,8,1
22,18,14,6,2
42,42,92,14,4
20,28,28,6,1
10,10,6,4,4
52,18,25,16,1
44,52,90,22,2
40,36,62,18,1
42,46,88,16,1
30,34,76,14,1
18,22,34,8,2
46,38,92,18,1
52,14,10,8,1
12,12,12,4,5
18,22,28,8,1
21,20,20,6,11
36,36,84,16,4
44,48,86,24,1
52,52,78,24,2
18,10,6,2,1
40,40,88,18,1
46,42,96,20,2
14,10,8,4,4
22,18,34,8,3
30,8,8,4,1
44,48,86,22,2
48,40,82,18,1
42,42,92,16,3
22,24,42,8,2
48,14,10,4,1
36,36,84,10,2
22,16,16,6,5
32,24,34,10,1
12,12,8,4,1
38,38,88,14,3
48,16,12,4,1
12,10,14,8,1
16,12,14,4,1
10,12,8,4,3
20,22,36,6,5
52,32,70,16,3
22,10,10,6,4
43,43,90,18,4
52,14,14,6,1
44,44,92,24,1
46,28,54,14,1
14,14,18,4,2
42,42,88,18,2
52,42,80,24,1
52,28,32,16,1
41,41,90,13,1
50,48,92,22,1
52,16,14,12,1
12,16,6,4,1
40,36,34,18,1
52,28,54,12,2
52,32,68,16,2
42,46,92,18,1
36,40,84,14,1
16,10,10,4,1
40,42,54,14,1
22,12,10,4,1
52,18,25,10,1
10,20,8,4,1
35,25,50,12,1
30,30,76,10,2
48,16,10,6,1
22,19,20,6,1
52,44,78,24,1
33,33,82,10,1
22,12,4,4,1
52,12,14,6,1
35,35,90,20,2
46,42,92,16,1
48,44,82,20,4
48,48,86,24,2
30,30,76,12,2
46,48,80,22,1
32,32,80,12,1
25,22,84,8,2
41,41,94,14,2
20,22,6,2,3
48,48,82,22,2
42,42,92,20,1
12,24,10,6,1
